group,T1026-D1,T1027-D1,T1029-D1,T1030-D1,T1030-D2,T1031-D1,T1032-D1,T1033-D1,T1034-D1,T1035-D1,T1037-D1,T1038-D1,T1038-D2,T1039-D1,T1040-D1,T1041-D1,T1042-D1,T1053-D1,T1053-D2,T1056-D1,T1057-D1,T1058-D1,T1058-D2,T1064-D1,T1067-D1,T1068-D1,T1073-D1,T1074-D1,T1083-D1,T1086-D1,T1086-D2,T1089-D1,T1090-D1,T1092-D1,T1092-D2,T1094-D1,T1094-D2,T1095-D1,T1100-D1,T1100-D2,T1101-D1,T1101-D2
G062,0.6849,0.36869999999999997,0.424,0.6217,0.42229999999999995,0.2816,0.5588000000000001,0.3375,0.8125,0.8162,0.5291,0.37939999999999996,0.6743000000000001,0.2873,0.2346,0.5403,0.452,0.51,0.5746,0.5311,0.7429000000000001,0.7315999999999999,0.5683,0.2473,0.5283,0.5447,0.8262999999999999,0.3655,0.8533,0.6023,0.5891,0.6531999999999999,0.5767,0.5143,0.6104999999999999,0.4828,0.8007,0.2114,0.7175,0.6465000000000001,0.9127,0.6589
G063,0.1558,0.16920000000000002,0.19399999999999998,0.15259999999999999,0.2584,0.2421,0.5132,0.365,0.6651,0.20829999999999999,0.0675,0.1557,0.18420000000000003,0.1273,0.1558,0.1198,0.0761,0.0623,0.1447,0.44670000000000004,0.4797,0.1005,0.1009,0.1495,0.078,0.0768,0.5085000000000001,0.13449999999999998,0.4728,0.3627,0.2713,0.4032,0.0966,0.1184,0.105,0.0668,0.0652,0.0382,0.5044,0.0748,0.1325,0.48479999999999995
G067,0.7106,0.3889,0.414,0.6445000000000001,0.43700000000000006,0.2816,0.5015,0.335,0.8365,0.25,0.5922,0.3224,0.5065999999999999,0.34630000000000005,0.2365,0.5992000000000001,0.5498,0.5357999999999999,0.6491,0.5459,0.8454999999999999,0.7451000000000001,0.7686,0.2364,0.4355,0.5726,0.8347,0.3693,0.8179000000000001,0.6476999999999999,0.7061,0.6134000000000001,0.5317000000000001,0.402,0.5359,0.4738,0.7645000000000001,0.2195,0.5252,0.6513,0.9127,0.6203
G070,0.10619999999999999,0.255,0.408,0.5179,0.40759999999999996,0.46049999999999996,0.5471,0.3025,0.851,0.8504999999999999,0.3521,0.1535,0.1941,0.222,0.2635,0.5393,0.0788,0.09380000000000001,0.1827,0.534,0.8201,0.5722999999999999,0.4379,0.20379999999999998,0.4683,0.5433,0.8475,0.1326,0.8669,0.6503,0.5199,0.6088,0.4339,0.402,0.6670999999999999,0.46840000000000004,0.1981,0.4047,0.5518,0.6496999999999999,0.9217,0.6156
G071,0.6420999999999999,0.3283,0.45799999999999996,0.526,0.36340000000000006,0.2737,0.5382,0.2825,0.774,0.31129999999999997,0.1151,0.30260000000000004,0.5296,0.2748,0.2481,0.46799999999999997,0.16940000000000002,0.1655,0.48979999999999996,0.47479999999999994,0.6890000000000001,0.6801999999999999,0.5854,0.2065,0.39030000000000004,0.5056,0.7712,0.3201,0.8397,0.6516,0.488,0.5915,0.4167,0.4653,0.6947,0.4901,0.7742,0.38,0.5177,0.4236,0.8554,0.5234000000000001
G075,0.5034000000000001,0.3712,0.418,0.638,0.4874,0.3342,0.5015,0.29,0.8061,0.7622,0.4752,0.3421,0.5921,0.1894,0.24420000000000003,0.48450000000000004,0.40850000000000003,0.3488,0.5863,0.48960000000000004,0.6981999999999999,0.6605,0.6522,0.2364,0.371,0.4413,0.8347,0.37310000000000004,0.8315,0.4987,0.4043,0.6313,0.4458,0.36219999999999997,0.6727,0.4386,0.1932,0.3457,0.5503,0.5143,0.8162999999999999,0.6367
G081,0.5788,0.2273,0.252,0.25,0.3025,0.17629999999999998,0.39270000000000005,0.25,0.6907,0.201,0.0557,0.1425,0.2664,0.2065,0.13849999999999998,0.1043,0.1042,0.0645,0.1521,0.48960000000000004,0.6789000000000001,0.1691,0.1149,0.1984,0.3982,0.4832,0.4746,0.11359999999999999,0.5842,0.4715,0.3657,0.5922,0.0701,0.2878,0.6561,0.4215,0.16670000000000001,0.38,0.48229999999999995,0.0621,0.1054,0.6459999999999999
G096,0.5223,0.35350000000000004,0.366,0.3961,0.37810000000000005,0.25,0.4794,0.3225,0.6234000000000001,0.4118,0.099,0.2346,0.5592,0.25,0.2519,0.17559999999999998,0.12140000000000001,0.38539999999999996,0.4985,0.2692,0.5945,0.28059999999999996,0.205,0.1984,0.2466,0.433,0.7076,0.447,0.49729999999999996,0.4793,0.5997,0.4111,0.3214,0.1949,0.3121,0.1986,0.2427,0.2064,0.3166,0.2245,0.5872999999999999,0.2804
G097,0.4349,0.3283,0.266,0.31329999999999997,0.3235,0.2553,0.4838,0.2775,0.4391,0.2451,0.0971,0.239,0.5362,0.2826,0.2077,0.1291,0.135,0.2837,0.5015,0.45409999999999995,0.7581,0.5735,0.34159999999999996,0.25,0.414,0.5014,0.8305,0.28600000000000003,0.8070999999999999,0.5816,0.5545,0.5099,0.3796,0.4143,0.6271,0.1074,0.157,0.3387,0.5814,0.38530000000000003,0.8193,0.6015999999999999
G101,0.5719,0.23989999999999997,0.414,0.6509999999999999,0.40549999999999997,0.2711,0.5515,0.2975,0.8606,0.4804,0.3589,0.33549999999999996,0.625,0.2702,0.24420000000000003,0.5257999999999999,0.1685,0.5423,0.6491,0.5192,0.8354,0.7145,0.6537000000000001,0.2582,0.4265,0.5754,0.8347,0.5114,0.8370000000000001,0.7578,0.629,0.6670999999999999,0.5251,0.5143,0.6602,0.4486,0.18359999999999999,0.26890000000000003,0.6139,0.7212999999999999,0.9277,0.6846
G125,0.5223,0.39649999999999996,0.4,0.6103999999999999,0.4097,0.3237,0.4985,0.25,0.7532,0.8064,0.5396,0.33990000000000004,0.5954,0.2655,0.3404,0.499,0.48729999999999996,0.4756,0.6184000000000001,0.5074000000000001,0.7734000000000001,0.6923999999999999,0.7003,0.22829999999999998,0.4072,0.5236999999999999,0.8602,0.4413,0.856,0.6373,0.6263000000000001,0.6731,0.5317000000000001,0.5,0.6851,0.4007,0.5761,0.3233,0.6376,0.6003000000000001,0.8855,0.639
G129,0.6592,0.4217,0.39,0.6412,0.34450000000000003,0.7053,0.5603,0.355,0.8478,0.8652,0.6033,0.33549999999999996,0.6283,0.264,0.45380000000000004,0.6198,0.5254,0.5766,0.6652,0.5503,0.815,0.7353000000000001,0.7158,0.2663,0.4717,0.5335,0.8644,0.5075999999999999,0.8288,0.7215,0.609,0.6737000000000001,0.5423,0.6224000000000001,0.7541,0.5009,0.7947,0.4035,0.6819,0.6656,0.9127,0.66
G138,0.1507,0.2879,0.38,0.2321,0.2668,0.25,0.43229999999999996,0.265,0.5481,0.2672,0.10769999999999999,0.2588,0.2993,0.2236,0.2231,0.1684,0.1159,0.1103,0.26899999999999996,0.42310000000000003,0.624,0.5992999999999999,0.3556,0.231,0.1346,0.25,0.6992,0.2027,0.7935,0.2837,0.3045,0.3554,0.2341,0.12960000000000002,0.2887,0.1173,0.1461,0.0891,0.30469999999999997,0.379,0.39159999999999995,0.4474
G140,0.7123,0.3283,0.40399999999999997,0.6623,0.4118,0.2816,0.55,0.3075,0.8237000000000001,0.8162,0.5297,0.3465,0.5954,0.2857,0.2327,0.5393,0.46009999999999995,0.5408,0.6184000000000001,0.4719,0.7988,0.7328,0.5668,0.2065,0.4208,0.49439999999999995,0.8262999999999999,0.5095000000000001,0.8451000000000001,0.557,0.4654,0.6711,0.4802,0.5611999999999999,0.7238,0.4404,0.37920000000000004,0.4105,0.5636,0.535,0.9066,0.6659
G151,0.1593,0.1894,0.23199999999999998,0.1948,0.2605,0.21050000000000002,0.45,0.2825,0.7404000000000001,0.2525,0.08289999999999999,0.1557,0.1941,0.2065,0.2,0.1074,0.10869999999999999,0.08380000000000001,0.1696,0.4571,0.6494,0.15810000000000002,0.1351,0.2065,0.1346,0.2695,0.41100000000000003,0.1439,0.6658,0.272,0.3231,0.5464,0.1481,0.102,0.1243,0.1011,0.11960000000000001,0.0355,0.1775,0.1449,0.259,0.09699999999999999
G169,0.1387,0.2121,0.16399999999999998,0.3214,0.3677,0.21050000000000002,0.4397,0.3025,0.226,0.2132,0.0885,0.1425,0.1612,0.17550000000000002,0.20190000000000002,0.1002,0.0969,0.0788,0.1725,0.3506,0.4106,0.1826,0.1522,0.20379999999999998,0.1414,0.3715,0.7119,0.1326,0.45380000000000004,0.2539,0.1928,0.1373,0.131,0.22649999999999998,0.48619999999999997,0.157,0.1014,0.1211,0.534,0.1752,0.3373,0.1273
G170,0.1336,0.19440000000000002,0.22,0.1607,0.1912,0.2263,0.1235,0.2725,0.5577000000000001,0.2672,0.065,0.136,0.273,0.1413,0.1673,0.1033,0.0806,0.0709,0.16079999999999997,0.1065,0.08130000000000001,0.12619999999999998,0.12890000000000001,0.2473,0.1075,0.1257,0.4322,0.1421,0.1929,0.4378,0.1968,0.3899,0.1032,0.0816,0.0898,0.222,0.11349999999999999,0.2978,0.1568,0.1433,0.4849,0.0818
G183,0.48119999999999996,0.40659999999999996,0.418,0.6753,0.5231,0.2895,0.5294,0.3225,0.8332999999999999,0.4902,0.46840000000000004,0.3136,0.6908,0.278,0.2192,0.5413,0.4656,0.5172,0.6389,0.5799,0.7998000000000001,0.6103000000000001,0.7298,0.2147,0.3948,0.5852,0.8432,0.34090000000000004,0.8478,0.68,0.6848000000000001,0.6618,0.6507999999999999,0.4571,0.6325999999999999,0.19039999999999999,0.3104,0.292,0.6759999999999999,0.6688,0.9428,0.6472
G187,0.5017,0.3712,0.41200000000000003,0.6136,0.40340000000000004,0.321,0.5412,0.3025,0.7853,0.7475,0.4746,0.3465,0.6446999999999999,0.2205,0.2481,0.4587,0.3306,0.4764,0.6446999999999999,0.503,0.7245999999999999,0.6789000000000001,0.5373,0.2418,0.4265,0.4623,0.8390000000000001,0.5057,0.8504999999999999,0.5104,0.4428,0.6459,0.4987,0.35509999999999997,0.6587999999999999,0.43770000000000003,0.19440000000000002,0.35609999999999997,0.5577000000000001,0.5334,0.8584,0.5888
G192,0.5736,0.35609999999999997,0.43799999999999994,0.5779,0.40340000000000004,0.2553,0.22940000000000002,0.2575,0.524,0.3039,0.1368,0.2917,0.5395,0.2904,0.2,0.25,0.1377,0.4728,0.5863,0.49700000000000005,0.7326999999999999,0.636,0.5388000000000001,0.1929,0.34840000000000004,0.5531,0.8517,0.3258,0.7173999999999999,0.5311,0.4428,0.6346,0.4365,0.1949,0.43090000000000006,0.41700000000000004,0.2041,0.31329999999999997,0.42310000000000003,0.2373,0.8193,0.6214999999999999
G193,0.6113000000000001,0.3157,0.408,0.3084,0.5252,0.24739999999999998,0.525,0.3225,0.8349,0.8504999999999999,0.0941,0.3246,0.6645,0.39130000000000004,0.1961,0.5393,0.1458,0.5265,0.6623,0.5,0.8161,0.7646999999999999,0.75,0.2255,0.4321,0.5349,0.8644,0.5,0.6603,0.6542,0.5386,0.5783,0.2011,0.46630000000000005,0.6022,0.4386,0.1993,0.402,0.5252,0.6338,0.9217,0.6192
G198,0.5034000000000001,0.3763,0.42,0.6331,0.4244,0.3342,0.5559000000000001,0.3075,0.8012999999999999,0.7304,0.47340000000000004,0.3465,0.6118,0.18789999999999998,0.24230000000000002,0.48450000000000004,0.4158,0.3496,0.5832999999999999,0.4556,0.7448999999999999,0.6605,0.6522,0.2364,0.36200000000000004,0.42460000000000003,0.8347,0.4129,0.8397,0.636,0.5652,0.634,0.4378,0.32549999999999996,0.7017,0.4368,0.19079999999999997,0.34909999999999997,0.5636,0.49520000000000003,0.8312999999999999,0.5490999999999999
G200,0.5205,0.3737,0.40399999999999997,0.6753,0.5231,0.2816,0.5529,0.3125,0.8381000000000001,0.5661999999999999,0.5507,0.33990000000000004,0.6151,0.26239999999999997,0.375,0.5382,0.34240000000000004,0.5193,0.617,0.5428999999999999,0.8028,0.6716,0.6988,0.2663,0.4672,0.5293,0.8390000000000001,0.47350000000000003,0.8504999999999999,0.6995,0.629,0.6995999999999999,0.4987,0.5684,0.7845,0.4738,0.7645000000000001,0.2905,0.7027,0.6688,0.9127,0.6717
G209,0.6884,0.35350000000000004,0.436,0.43829999999999997,0.47479999999999994,0.25,0.5882000000000001,0.4625,0.8365,0.27940000000000004,0.1646,0.2325,0.625,0.3975,0.20190000000000002,0.25,0.1458,0.5207999999999999,0.6491,0.5917,0.8476,0.7635,0.7593000000000001,0.2636,0.4604,0.5711999999999999,0.8432,0.47729999999999995,0.7962,0.7474,0.6622,0.7148,0.4683,0.2602,0.7666,0.4765,0.22699999999999998,0.3665,0.7071,0.6783,0.9428,0.7091
G216,0.7106,0.36869999999999997,0.41200000000000003,0.6801999999999999,0.40130000000000005,0.2526,0.5485,0.3125,0.8397,0.5172,0.526,0.3443,0.6283,0.2686,0.2942,0.5114,0.34240000000000004,0.5122,0.6433,0.5518,0.7957,0.7463,0.7670999999999999,0.2473,0.5283,0.5726,0.8390000000000001,0.5,0.8478,0.68,0.7021,0.6505,0.6071,0.5143,0.6629999999999999,0.48100000000000004,0.7923,0.4047,0.7027,0.6688,0.9277,0.6542
G217,0.7140000000000001,0.33590000000000003,0.262,0.2646,0.34659999999999996,0.2526,0.175,0.28,0.7724,0.8088,0.1856,0.3246,0.5065999999999999,0.22519999999999998,0.1808,0.1591,0.11869999999999999,0.4642,0.6433,0.4793,0.6565000000000001,0.6225999999999999,0.7003,0.2473,0.41850000000000004,0.3059,0.8008,0.1894,0.5706,0.16190000000000002,0.2553,0.0617,0.1561,0.45409999999999995,0.6492,0.09390000000000001,0.1208,0.0409,0.1893,0.16879999999999998,0.262,0.1577
G220,0.6815000000000001,0.3712,0.408,0.6948000000000001,0.39289999999999997,0.2447,0.5588000000000001,0.4525,0.8253,0.5,0.513,0.37939999999999996,0.5690999999999999,0.3478,0.2365,0.53,0.5462,0.5122,0.6228,0.5325,0.7947,0.6299,0.6227,0.2065,0.5249,0.5517,0.8347,0.35979999999999995,0.8315,0.6762,0.6968000000000001,0.6592,0.5317000000000001,0.4061,0.5428000000000001,0.46659999999999996,0.45530000000000004,0.42090000000000005,0.6775,0.672,0.9066,0.7208
G222,0.4401,0.38380000000000003,0.41600000000000004,0.6801999999999999,0.40130000000000005,0.36579999999999996,0.6015,0.3125,0.7147,0.5661999999999999,0.3224,0.37939999999999996,0.6283,0.2748,0.3115,0.5795,0.1739,0.48210000000000003,0.6637000000000001,0.5917,0.8384,0.6225999999999999,0.6382,0.22010000000000002,0.5034000000000001,0.5754,0.8390000000000001,0.37689999999999996,0.8478,0.693,0.6729,0.6114,0.5291,0.3704,0.5193,0.30870000000000003,0.2162,0.2064,0.6775,0.672,0.9187000000000001,0.6448999999999999
G226,0.613,0.3788,0.38799999999999996,0.6283,0.3214,0.6553,0.5485,0.3275,0.8381000000000001,0.8652,0.5204,0.33990000000000004,0.579,0.2655,0.4596,0.6364,0.5507,0.5036,0.6199,0.5444,0.8079000000000001,0.6690999999999999,0.6894,0.2717,0.474,0.5559000000000001,0.8347,0.3883,0.7745000000000001,0.6723,0.5065999999999999,0.6976,0.5278,0.5827,0.7127,0.48100000000000004,0.7923,0.37579999999999997,0.5962,0.5954999999999999,0.8765000000000001,0.6846
G238,0.613,0.4192,0.41600000000000004,0.7029000000000001,0.5462,0.2842,0.5559000000000001,0.31,0.7981,0.4657,0.2945,0.3136,0.6645,0.25780000000000003,0.21350000000000002,0.5145000000000001,0.3786,0.5179,0.6403,0.5325,0.7998000000000001,0.6373,0.7329000000000001,0.231,0.32799999999999996,0.5992000000000001,0.8517,0.3333,0.8504999999999999,0.6775,0.6955,0.6419,0.5820000000000001,0.5071,0.6518999999999999,0.3448,0.5832999999999999,0.2786,0.5932,0.6975,0.9398000000000001,0.653
G252,0.5051,0.3737,0.406,0.6217,0.40340000000000004,0.3053,0.5397,0.2925,0.782,0.7720999999999999,0.474,0.33549999999999996,0.6382,0.2127,0.25,0.45039999999999997,0.3406,0.44049999999999995,0.6462,0.5133,0.7429000000000001,0.6814,0.6009,0.2364,0.4253,0.5042,0.8475,0.5,0.8261,0.6670999999999999,0.5652,0.624,0.4828,0.34490000000000004,0.6851,0.4386,0.1957,0.3306,0.5592,0.5318999999999999,0.8554,0.5783
G253,0.5154,0.38130000000000003,0.406,0.6672,0.5146999999999999,0.3079,0.5485,0.31,0.8397,0.8578,0.47340000000000004,0.3443,0.625,0.2671,0.24609999999999999,0.5247999999999999,0.5453,0.485,0.652,0.5459,0.8028,0.6335999999999999,0.7329000000000001,0.2391,0.4593,0.5656,0.8390000000000001,0.40909999999999996,0.8423999999999999,0.6981999999999999,0.629,0.695,0.4868,0.5622,0.7818,0.4874,0.773,0.40549999999999997,0.6583,0.6862999999999999,0.9036,0.6751999999999999
G254,0.649,0.4167,0.386,0.7451000000000001,0.5462,0.2868,0.4853,0.3275,0.8205,0.8578,0.5099,0.2807,0.6973999999999999,0.2562,0.2404,0.5155,0.4275,0.5129,0.48979999999999996,0.4793,0.7358,0.6690999999999999,0.7484000000000001,0.20920000000000002,0.34159999999999996,0.4763,0.6779999999999999,0.4167,0.8776999999999999,0.7552,0.5690999999999999,0.3488,0.496,0.3714,0.6629999999999999,0.49729999999999996,0.2693,0.4167,0.605,0.4236,0.8704999999999999,0.6822
G257,0.6901,0.4621,0.428,0.6445000000000001,0.43700000000000006,0.24739999999999998,0.5015,0.4625,0.8414,0.29410000000000003,0.5408,0.38159999999999994,0.5690999999999999,0.34630000000000005,0.20190000000000002,0.5351,0.5507,0.5357999999999999,0.6491,0.5444,0.8476,0.7463,0.7670999999999999,0.231,0.47850000000000004,0.5726,0.8262999999999999,0.358,0.7908,0.6476999999999999,0.7061,0.7182,0.5317000000000001,0.46630000000000005,0.6851,0.4215,0.1643,0.2234,0.7234,0.664,0.9066,0.6729
G259,0.4966,0.2955,0.214,0.3328,0.2395,0.2263,0.38530000000000003,0.2575,0.1779,0.2132,0.0953,0.1864,0.2664,0.2422,0.1981,0.11359999999999999,0.1096,0.2521,0.348,0.42460000000000003,0.6799,0.13720000000000002,0.18170000000000003,0.2255,0.31670000000000004,0.4525,0.4619,0.1648,0.32880000000000004,0.579,0.41619999999999996,0.4702,0.213,0.349,0.5898,0.1002,0.11349999999999999,0.3738,0.44670000000000004,0.25,0.6928,0.6051
G277,0.16949999999999998,0.39390000000000003,0.198,0.625,0.4391,0.2737,0.6118,0.2625,0.7724,0.5343,0.2846,0.18420000000000003,0.1809,0.2422,0.16149999999999998,0.5196000000000001,0.1014,0.5,0.6564,0.5,0.7764,0.6323,0.6211,0.2364,0.3914,0.514,0.8051,0.3125,0.7935,0.7086,0.6729,0.5722999999999999,0.5331,0.3357,0.6188,0.185,0.19079999999999997,0.1493,0.6405,0.6879000000000001,0.8765000000000001,0.6402
G278,0.625,0.2778,0.314,0.2743,0.3004,0.2289,0.48969999999999997,0.265,0.7707999999999999,0.223,0.08789999999999999,0.1711,0.22039999999999998,0.2314,0.18460000000000001,0.1736,0.1232,0.1898,0.25,0.5473,0.7094,0.4681,0.4953,0.1875,0.3529,0.5377000000000001,0.8347,0.2102,0.7908,0.5492,0.5718,0.6572,0.172,0.39899999999999997,0.6920000000000001,0.09210000000000002,0.1437,0.3843,0.32539999999999997,0.35350000000000004,0.9066,0.6729
