,crit:complexity,crit:creativity,crit:domain_knowledge,crit:problem_solving,crit:real_world,crit:specificity,crit:technical_accuracy,instruction_following,is_code,lang:Arabic,lang:Chinese,lang:Czech,lang:English,lang:French,lang:German,lang:Italian,lang:Japanese,lang:Korean,lang:Persian,lang:Polish,lang:Portuguese,lang:Russian,lang:Spanish,lang:Turkish,lang:Ukrainian,lang:Vietnamese,lang:unknown,math
gemini-advanced-0514,0.5653682133537012,0.5921660350544765,0.5858924292180705,0.5740714387363028,0.5853575879484881,0.5787770169056281,0.5798462729801819,0.5764454397394136,0.5658889407372841,0.6687116564417178,0.6066388710711995,0.6463414634146342,0.5628675542086085,0.6050314465408805,0.6067385444743936,0.60913140311804,0.6227239621267298,0.6358579375267437,0.6091269841269841,0.6210526315789474,0.565359477124183,0.5971327813554125,0.533868092691622,0.5911016949152542,0.6182432432432432,0.6296296296296297,0.5398037077426391,0.5676771989752348
gemma-2-27b-it,0.4820056118091985,0.5223022355975925,0.500425694947001,0.4885763699253595,0.5009450207904574,0.4954764930114358,0.4884670964873277,0.4917815983374268,0.4829642248722317,0.4207920792079208,0.5231063238359972,0.45491803278688525,0.48912069627543836,0.49743589743589745,0.5088397790055249,0.46089385474860334,0.526564344746163,0.5486018641810919,0.489010989010989,0.47701149425287354,0.4694189602446483,0.5151016746411483,0.5152129817444219,0.49019607843137253,0.5,0.5421607378129117,0.504930966469428,0.47908897176345233
gpt-3.5-turbo-0125,0.4418866332223733,0.410260663507109,0.4152736950131325,0.42959780621572213,0.4155891847575452,0.42783077561177935,0.42168674698795183,0.44980422233883666,0.4407458776390815,0.49330357142857145,0.40623186723917837,0.462882096069869,0.4217114834107654,0.4336917562724014,0.4330574488802337,0.4618320610687023,0.46260869565217394,0.44876325088339225,0.48545176110260335,0.5093457943925234,0.4462809917355372,0.45490073471939974,0.45017035775127767,0.5,0.45081967213114754,0.3867403314917127,0.49497795198432143,0.45155654383735705
gpt-4-0125-preview,0.5932145305003427,0.5973402848615361,0.5936118385852271,0.5989945862335654,0.5936883220846618,0.5919117647058824,0.591512821900998,0.5879393680334067,0.5876536448825606,0.6390041493775933,0.598025149801671,0.6122112211221122,0.5896182273065832,0.6169458762886598,0.5878537735849056,0.5873388042203986,0.6157684630738522,0.5912938331318017,0.626131221719457,0.6142857142857143,0.5940721649484536,0.5711526479750779,0.5859872611464968,0.6311475409836066,0.6067073170731707,0.5062111801242236,0.5606847470667436,0.603933294028468
gpt-4-0314,0.5656716417910448,0.5523211003735105,0.5570601725455936,0.5634356822732908,0.5570858581548178,0.5612518551305752,0.5588466726618705,0.5722653158144689,0.5568146698258989,0.5583941605839416,0.5584347303590206,0.6301369863013698,0.5552098910489212,0.5834191555097837,0.5792181069958847,0.5668724279835391,0.5678053830227743,0.544750430292599,0.5828092243186582,0.6443965517241379,0.5588842975206612,0.5373419231686948,0.5722477064220184,0.5126582278481012,0.55,0.6164383561643836,0.5336209996404171,0.5788608260983952
gpt-4-0613,0.5027488370304871,0.4992411924119241,0.48299718894134985,0.4980806998750223,0.48547872837150974,0.4958077776327809,0.4829453119479969,0.5229424377370938,0.49022160137151566,0.5181518151815182,0.4478782773507423,0.5882352941176471,0.4973126858025832,0.4713282621416033,0.4997879558948261,0.5011682242990654,0.5333333333333333,0.47643641058747577,0.5314516129032258,0.5344827586206896,0.49838709677419357,0.48975501113585745,0.4994110718492344,0.5576271186440678,0.5095785440613027,0.4128540305010893,0.5063155641190323,0.5260744012230338
gpt-4-1106-preview,0.6198020902824105,0.6293819832402234,0.623003533101322,0.6215685149594102,0.6239731335572204,0.6214701715724854,0.6180608982578516,0.6157994923857868,0.6194957490472003,0.609271523178808,0.6074680251463256,0.6719653179190751,0.6237053807986898,0.6504043126684637,0.6254091653027823,0.6346389228886169,0.6287042417199302,0.6101641414141414,0.5804248861911988,0.6549865229110512,0.6074074074074074,0.5909772182254197,0.6311910377358491,0.6158536585365854,0.5685185185185185,0.5827338129496403,0.5650776053215077,0.6291537790467127
gpt-4-turbo-2024-04-09,0.5862017804154303,0.5826249765961431,0.5796032987345372,0.5851407610119654,0.5805011440370557,0.5821645137990694,0.5789820294457275,0.5857850183676729,0.5886620404886161,0.5873239436619718,0.5815629742033384,0.6714285714285714,0.5775370235494052,0.5767790262172284,0.5961349492302653,0.5878693623639192,0.5813360530341662,0.589329268292683,0.621875,0.610909090909091,0.5671728971962616,0.5630951078034365,0.5784190715181933,0.5729813664596274,0.5711864406779661,0.5364372469635628,0.5365366902057108,0.5860669456066946
gpt-4o-2024-05-13,0.6073305954825462,0.6102212649304876,0.6089561485690108,0.6130334486735871,0.6074405909751683,0.6041891891891892,0.6075184322856034,0.6106382978723405,0.6152763327008997,0.6182432432432432,0.608415013148458,0.8024118738404453,0.5961046346317884,0.6098754448398577,0.6176687569162671,0.6032608695652174,0.6444662095984329,0.6416103603603603,0.6426767676767676,0.6512915129151291,0.6122327790973872,0.6033709037779169,0.5931186868686869,0.641566265060241,0.6027667984189723,0.5825688073394495,0.5632977337848398,0.5866597136626529
llama-2-70b-chat,0.4307057989005143,0.4732113282543889,0.46154326772883475,0.4429286350860355,0.4617408229676713,0.4580792682926829,0.4557997656660337,0.4369270399272672,0.42635085122131755,0.38,0.32468955441928415,0.35148514851485146,0.4886128364389234,0.4575757575757576,0.4075785582255083,0.43376623376623374,0.38620071684587814,0.4112271540469974,0.35638297872340424,0.4441340782122905,0.47743467933491684,0.4345118521494576,0.5307486631016043,0.3394495412844037,0.4330357142857143,0.4661016949152542,0.4595282146160962,0.4335271317829457
llama-3-70b-instruct,0.5193293237154074,0.5323158038094127,0.5228898052931044,0.5218553506880107,0.5249523099524196,0.5269093218937898,0.5250967796626134,0.5164024658740642,0.516865745743407,0.41452991452991456,0.40525553140500475,0.47342398022249693,0.574049952445933,0.5330396475770925,0.48984133126934987,0.5288461538461539,0.3781948881789137,0.41285488958990535,0.4928400954653938,0.4642857142857143,0.545481393975192,0.46451961956831256,0.5626907073509015,0.46072931276297335,0.4715909090909091,0.3890362511052166,0.4961320268179474,0.5268910478834143
llama-3-8b-instruct,0.44484884062224833,0.46902575453920015,0.45235177043392216,0.4444942219771636,0.4549355276365281,0.4558249043103108,0.45219106423119804,0.43703171507749156,0.45065997649398787,0.40368271954674223,0.38406332020997375,0.34312080536912754,0.49295579044826787,0.4451114922813036,0.4086593785960875,0.46149789029535865,0.3575174825174825,0.40923516344017774,0.4284452296819788,0.4248927038626609,0.47711088504577825,0.41629170557772305,0.47846441947565543,0.40962671905697445,0.43665158371040724,0.36409155937052934,0.47030165509877203,0.43333333333333335
mistral-large-2402,0.4889179273257275,0.47080563547971027,0.4740454621241594,0.48539184459911133,0.47490791057296033,0.4778783756662132,0.47699496764917326,0.4921207852803944,0.4836921850079745,0.39166666666666666,0.4357901876554375,0.44759825327510916,0.48044472681067346,0.5185022026431718,0.5129405286343612,0.5334394904458599,0.3894316163410302,0.3957894736842105,0.39363143631436315,0.4689655172413793,0.46545768566493956,0.4740156225091663,0.5236148955495005,0.4297872340425532,0.5305343511450382,0.38285714285714284,0.47121588089330024,0.49897084048027446
mixtral-8x22b-instruct-v0.1,0.4570608278647148,0.429750467470501,0.44129710023265295,0.4486277618151194,0.4412844468500694,0.4458155868332722,0.4449975716367168,0.45572702894981665,0.4508604396697503,0.37962962962962965,0.44448005127383433,0.4681274900398406,0.44309757563614505,0.436498150431566,0.460061919504644,0.40236051502145925,0.409486931268151,0.426140231449966,0.4178321678321678,0.47186147186147187,0.45490981963927857,0.4551012958569082,0.438911704312115,0.3815789473684211,0.47029702970297027,0.3747178329571106,0.4534950895436164,0.47259301334848053
mixtral-8x7b-instruct-v0.1,0.4461884396631542,0.4316886816886817,0.4378195296523517,0.44343728581220015,0.43941479129850025,0.44425926631366425,0.44145153333881443,0.4390452969636939,0.43265851258259524,0.34151785714285715,0.3677738741616097,0.36213991769547327,0.4634909313226004,0.4760371959942775,0.4670178653229501,0.44473684210526315,0.3390302066772655,0.3441258094357077,0.3412828947368421,0.39941690962099125,0.4297337278106509,0.3860090997725057,0.44039270687237025,0.41044776119402987,0.4127906976744186,0.34261501210653755,0.4355638166047088,0.4626993166287016
nemotron-4-340b-instruct,0.5008107669855684,0.5153645455863168,0.5139675772704325,0.5056179775280899,0.5138497263227733,0.5097800338409475,0.5141512928798992,0.5169631512071157,0.49054192229038857,0.5818181818181818,0.525366627031312,0.6343283582089553,0.5035532994923858,0.4706666666666667,0.4964887640449438,0.5185185185185185,0.49089253187613846,0.5361111111111111,0.55,0.5608108108108109,0.5335968379446641,0.5302645886190649,0.4781609195402299,0.6133333333333333,0.44029850746268656,0.5854430379746836,0.4750297265160523,0.5024980784012298
phi-3-medium-4k-instruct,0.41457703927492445,0.38548297813451426,0.3965204784342153,0.40317691962281094,0.3963908854564918,0.4002019946976392,0.4021591985921213,0.39704848910751933,0.3954009433962264,0.36363636363636365,0.4006374203224597,0.22625698324022347,0.4062342251388188,0.36268656716417913,0.3854033290653009,0.40728476821192056,0.38009404388714735,0.33394160583941607,0.288,0.29473684210526313,0.39631336405529954,0.4412786657400973,0.3784722222222222,0.31196581196581197,0.2898550724637681,0.22941176470588234,0.4530776992936428,0.43967828418230565
phi-3-small-8k-instruct,0.39688919958056623,0.37445670344366433,0.3832623588224403,0.3869047619047619,0.3843967730106344,0.3907936749277786,0.38994116224711856,0.38540323735854465,0.3864402385273529,0.30833333333333335,0.3539127015336217,0.25666666666666665,0.4076349506406217,0.4218181818181818,0.37420886075949367,0.412,0.33886255924170616,0.2820366132723112,0.2524752475247525,0.18309859154929578,0.42513368983957217,0.4149111937216026,0.40644171779141103,0.2905405405405405,0.3076923076923077,0.24074074074074073,0.4223245109321059,0.4283185840707965
qwen1.5-110b-chat,0.47449750203322877,0.4437726039783002,0.45823213046495487,0.4705137481910275,0.4572598532673605,0.4601705867149134,0.4632693580410324,0.4626754255001493,0.4763185287994448,0.4146341463414634,0.5340187481100696,0.5,0.4624097502815129,0.42995169082125606,0.43216855087358685,0.4375,0.4586410635155096,0.4661058881741712,0.5560747663551402,0.5286885245901639,0.4175627240143369,0.421191664220722,0.4418960244648318,0.4748427672955975,0.4541284403669725,0.45,0.49651248164464024,0.46731843575418996
qwen1.5-72b-chat,0.495013061030634,0.48512782694198625,0.4896487105505815,0.4928566991738617,0.4897370949427898,0.4887751152398044,0.4894740813400739,0.48548976356241813,0.5046187874056727,0.46830985915492956,0.5613593455003146,0.4485981308411215,0.4960649102424765,0.4989451476793249,0.42291491154170174,0.5012468827930174,0.5015923566878981,0.4833119383825417,0.4886039886039886,0.4651741293532338,0.4749262536873156,0.43109375,0.4446064139941691,0.4560810810810811,0.4578313253012048,0.48,0.5012864493996569,0.4869047619047619
qwen2-72b-instruct,0.491172583081571,0.47467912337378854,0.48088497360546045,0.48751670300302413,0.4811151972964914,0.48379198704977744,0.4818815178336693,0.48777460126391814,0.48017292784734644,0.4434782608695652,0.5619144087110661,0.37896825396825395,0.47884478899383087,0.4523809523809524,0.4511811023622047,0.4349315068493151,0.47759433962264153,0.47022428460943544,0.47674418604651164,0.5423076923076923,0.4398034398034398,0.4693967415235579,0.47372488408037094,0.47770700636942676,0.46236559139784944,0.43207126948775054,0.48532494758909855,0.5234597675948257
reka-core-20240501,0.4814054695613471,0.5046826984049558,0.4991987332354007,0.4916380209339153,0.4988212401302249,0.4910018469300419,0.4918219486781846,0.4789042148866208,0.4813077519926642,0.5858369098712446,0.5145219266714594,0.4237536656891496,0.4821057875944532,0.5020661157024794,0.5206757438224912,0.5102272727272728,0.5178003814367451,0.5146983640081799,0.5630914826498423,0.514018691588785,0.48579545454545453,0.509564735237039,0.4848698099929627,0.5299625468164794,0.4671717171717172,0.5210970464135021,0.4822870778267254,0.4590491880442457
reka-flash-preview-20240611,0.41443639798488663,0.4388457594844002,0.4361264912380844,0.4200595238095238,0.43837998541538115,0.43325383304940374,0.43286062486151117,0.41442953020134227,0.4207344890510949,0.4649122807017544,0.4411397670549085,0.327319587628866,0.4321877309682188,0.45692307692307693,0.4488549618320611,0.4084507042253521,0.4410211267605634,0.48316251830161056,0.5968992248062015,0.44642857142857145,0.45228215767634855,0.45427398282941395,0.47103274559193953,0.4444444444444444,0.5169491525423728,0.43326039387308535,0.44981640146878826,0.4102470930232558
yi-1.5-34b-chat,0.4488162496637073,0.43367039845913086,0.43922118523286285,0.44693384352029,0.4407506580738858,0.4449746079580334,0.44565217391304346,0.4275956284153005,0.4434060228452752,0.38961038961038963,0.5257001647446458,0.25688073394495414,0.4720468547957709,0.42023809523809524,0.3937007874015748,0.3804347826086957,0.35602094240837695,0.3634920634920635,0.31666666666666665,0.3505747126436782,0.3763837638376384,0.3656674208144796,0.40707964601769914,0.41810344827586204,0.3595505617977528,0.31954887218045114,0.4470945359930616,0.44894204231830726
yi-large-preview,0.5586380060015923,0.564927399362531,0.5592243891504147,0.5652539208364451,0.558977589179154,0.5554687710415039,0.555638364960156,0.5519924193307068,0.5586589573813299,0.5864485981308412,0.5918736246463376,0.5168067226890757,0.5444726110437562,0.5402010050251256,0.5564102564102564,0.5457831325301205,0.6013513513513513,0.523495906016376,0.5201612903225806,0.5792682926829268,0.523320895522388,0.5650670125378296,0.5699013157894737,0.5666666666666667,0.5852272727272727,0.49453551912568305,0.5125545851528385,0.5471035693387947
