,NarrativeQA - F1,NaturalQuestions (open-book) - F1,NaturalQuestions (closed-book) - F1,OpenbookQA - EM,MMLU - EM,MATH - Equivalent (CoT),GSM8K - EM,LegalBench - EM,MedQA - EM,WMT 2014 - BLEU-4
Qwen1.5 (72B),0.14444444444444443,0.8111111111111111,0.7,0.7333333333333333,0.5333333333333333,0.5777777777777777,0.5955056179775281,0.8,0.5888888888888889,0.6
Solar Pro,0.6555555555555556,0.9333333333333333,0.2,0.6722222222222223,0.6555555555555556,0.4111111111111111,0.797752808988764,0.7,0.7166666666666667,0.2777777777777778
Palmyra X V2 (33B),0.6444444444444445,0.7777777777777778,0.7444444444444445,0.4722222222222222,0.4,0.43333333333333335,0.47191011235955055,0.6111111111111112,0.37777777777777777,0.9555555555555556
Gemini 1.5 Flash (002),0.5666666666666667,0.5111111111111111,0.26666666666666666,0.6,0.6666666666666666,0.9777777777777777,0.12359550561797752,0.7111111111111111,0.5555555555555556,0.7555555555555555
Yi (34B),0.8888888888888888,0.8666666666666667,0.8222222222222222,0.65,0.5555555555555556,0.25555555555555554,0.33707865168539325,0.45555555555555555,0.5555555555555556,0.3111111111111111
Gemma 2 Instruct (9B),0.7777777777777778,0.6666666666666666,0.28888888888888886,0.5722222222222222,0.5222222222222223,0.6555555555555556,0.4943820224719101,0.5777777777777777,0.4777777777777778,0.5888888888888889
Qwen1.5 Chat (110B),0.3888888888888889,0.7,0.37777777777777777,0.6722222222222223,0.7888888888888889,0.4222222222222222,0.6460674157303371,0.4777777777777778,0.5,0.5222222222222223
Qwen1.5 (32B),0.12222222222222222,0.9,0.43333333333333335,0.75,0.4222222222222222,0.6666666666666666,0.5168539325842697,0.5444444444444444,0.5555555555555556,0.5444444444444444
Claude 3.5 Haiku (20241022),0.7444444444444445,0.18888888888888888,0.36666666666666664,0.3888888888888889,0.6333333333333333,0.9333333333333333,0.6460674157303371,0.5222222222222223,0.7555555555555555,0.13333333333333333
PaLM-2 (Bison),0.36666666666666664,0.9777777777777777,0.5777777777777777,0.4722222222222222,0.36666666666666664,0.3,0.30337078651685395,0.6222222222222222,0.3,0.9777777777777777
Amazon Nova Micro,0.5333333333333333,0.9111111111111111,0.16666666666666666,0.5111111111111111,0.4777777777777778,0.7222222222222222,0.5617977528089888,0.4444444444444444,0.4,0.5111111111111111
Claude v1.3,0.4,0.45555555555555555,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.37777777777777777,0.5393258426966292,0.5,0.4388888888888889,0.8
Mixtral (8x7B 32K seqlen),0.7666666666666667,0.4444444444444444,0.7111111111111111,0.4444444444444444,0.5444444444444444,0.3333333333333333,0.3258426966292135,0.5111111111111111,0.5277777777777778,0.4888888888888889
Phi-3 (14B),0.4111111111111111,0.6,0.14444444444444443,0.6111111111111112,0.6444444444444445,0.45555555555555555,0.8089887640449438,0.4222222222222222,0.6944444444444444,0.3
Claude 2.0,0.35555555555555557,0.26666666666666666,0.7333333333333333,0.4166666666666667,0.4666666666666667,0.4444444444444444,0.2696629213483146,0.6,0.5277777777777778,0.8111111111111111
DeepSeek LLM Chat (67B),0.1,0.6333333333333333,0.6777777777777778,0.4888888888888889,0.4888888888888889,0.4666666666666667,0.5730337078651685,0.5555555555555556,0.4666666666666667,0.43333333333333335
Qwen2.5 Instruct Turbo (7B),0.5111111111111111,0.5666666666666667,0.05555555555555555,0.4166666666666667,0.5777777777777777,0.9,0.7191011235955056,0.5333333333333333,0.3888888888888889,0.2111111111111111
Llama 2 (70B),0.7555555555555555,0.3,0.9111111111111111,0.35555555555555557,0.26666666666666666,0.23333333333333334,0.24719101123595505,0.7333333333333333,0.4388888888888889,0.5777777777777777
Phi-3 (7B),0.6777777777777778,0.32222222222222224,0.2777777777777778,0.5888888888888889,0.5888888888888889,0.6222222222222222,,0.37777777777777777,0.6,0.2
Yi Large (Preview),0.03333333333333333,0.08888888888888889,0.7222222222222222,0.8388888888888889,0.8222222222222222,0.6333333333333333,0.38202247191011235,0.26666666666666666,0.5777777777777777,0.34444444444444444
Command R Plus,0.4777777777777778,0.4888888888888889,0.34444444444444444,0.3111111111111111,0.32222222222222224,0.28888888888888886,0.48314606741573035,0.7222222222222222,0.3333333333333333,0.6333333333333333
GPT-3.5 (text-davinci-003),0.45555555555555555,0.8444444444444444,0.6888888888888889,0.3111111111111111,0.2,0.32222222222222224,0.3146067415730337,0.4666666666666667,0.28888888888888886,0.5
Claude 2.1,0.25555555555555554,0.13333333333333333,0.4777777777777778,0.45555555555555555,0.5111111111111111,0.4888888888888889,0.29213483146067415,0.5888888888888889,0.5111111111111111,0.6555555555555556
Qwen1.5 (14B),0.32222222222222224,0.8555555555555555,0.2222222222222222,0.4166666666666667,0.4111111111111111,0.5888888888888889,0.4044943820224719,0.43333333333333335,0.23333333333333334,0.36666666666666664
Gemini 1.0 Pro (002),0.6222222222222222,0.5,0.5888888888888889,0.2,0.18888888888888888,0.5222222222222223,0.6629213483146067,0.18888888888888888,0.17777777777777778,0.5666666666666667
Jamba 1.5 Mini,0.5777777777777777,0.4777777777777778,0.5444444444444444,0.5222222222222223,0.28888888888888886,0.2222222222222222,0.39325842696629215,0.24444444444444444,0.4888888888888889,0.37777777777777777
Claude Instant 1.2,0.15555555555555556,0.6111111111111112,0.35555555555555557,0.37777777777777777,0.43333333333333335,0.34444444444444444,0.449438202247191,0.3888888888888889,0.32222222222222224,0.5555555555555556
Llama 3 (8B),0.6666666666666666,0.4,0.5,0.15555555555555556,0.34444444444444444,0.2777777777777778,0.19101123595505617,0.5666666666666667,0.35,0.4222222222222222
Claude 3 Sonnet (20240229),0.0,0.0,0.0,0.6277777777777778,0.5666666666666667,0.06666666666666667,0.8539325842696629,0.2222222222222222,0.6388888888888888,0.7888888888888889
GPT-3.5 Turbo (0613),0.2111111111111111,0.36666666666666664,0.32222222222222224,0.35555555555555557,0.37777777777777777,0.5333333333333333,0.20224719101123595,0.3,0.45555555555555555,0.45555555555555555
LLaMA (65B),0.6888888888888889,0.28888888888888886,0.7666666666666667,0.14444444444444443,0.3111111111111111,0.17777777777777778,0.1797752808988764,0.2111111111111111,0.2111111111111111,0.4666666666666667
Arctic Instruct,0.2,0.1,0.5666666666666667,0.3111111111111111,0.25555555555555554,0.36666666666666664,0.5056179775280899,0.4,0.35,0.32222222222222224
Gemma (7B),0.6333333333333333,0.24444444444444444,0.3333333333333333,0.2777777777777778,0.24444444444444444,0.35555555555555557,0.23595505617977527,0.36666666666666664,0.2222222222222222,0.4444444444444444
GPT-3.5 (text-davinci-002),0.37777777777777777,0.4666666666666667,0.6333333333333333,0.22777777777777777,0.2222222222222222,0.3111111111111111,0.16853932584269662,0.34444444444444444,0.2722222222222222,0.3333333333333333
Mistral NeMo (2402),0.4666666666666667,0.2111111111111111,0.12222222222222222,0.28888888888888886,0.35555555555555557,0.5444444444444444,0.5280898876404494,0.08888888888888889,0.36666666666666664,0.35555555555555557
Mistral Large (2402),0.06666666666666667,0.044444444444444446,0.25555555555555554,0.5333333333333333,0.45555555555555555,0.7,0.4157303370786517,0.2,0.2,0.4111111111111111
Command,0.6,0.8888888888888888,0.6,0.16666666666666666,0.16666666666666666,0.15555555555555556,0.15730337078651685,0.3333333333333333,0.15555555555555556,0.044444444444444446
Llama 3.2 Vision Instruct Turbo (11B),0.7111111111111111,0.2777777777777778,0.07777777777777778,0.12222222222222222,0.14444444444444443,0.6777777777777778,0.6853932584269663,0.12222222222222222,0.044444444444444446,0.3888888888888889
Llama 3.1 Instruct Turbo (8B),0.7222222222222222,0.35555555555555557,0.06666666666666667,0.13333333333333333,0.1,0.6111111111111112,0.5842696629213483,0.044444444444444446,0.011111111111111112,0.4
Command R,0.5,0.5333333333333333,0.4,0.18888888888888888,0.2111111111111111,0.18888888888888888,0.2247191011235955,0.25555555555555554,0.3111111111111111,0.17777777777777778
Mistral v0.1 (7B),0.34444444444444444,0.43333333333333335,0.45555555555555555,0.17777777777777778,0.3,0.2111111111111111,0.14606741573033707,0.35555555555555557,0.2722222222222222,0.2222222222222222
DBRX Instruct,0.07777777777777778,0.05555555555555555,0.15555555555555556,0.5722222222222222,0.5,0.24444444444444444,0.3707865168539326,0.1111111111111111,0.6777777777777778,0.12222222222222222
Mistral Small (2402),0.08888888888888889,0.1111111111111111,0.23333333333333334,0.4166666666666667,0.3333333333333333,0.4777777777777778,0.4606741573033708,0.06666666666666667,0.4222222222222222,0.26666666666666666
Jamba Instruct,0.2222222222222222,0.17777777777777778,0.5111111111111111,0.22777777777777777,0.2777777777777778,0.26666666666666666,0.3595505617977528,0.32222222222222224,0.25555555555555554,0.24444444444444444
Qwen1.5 (7B),0.044444444444444446,0.7555555555555555,0.13333333333333333,0.26666666666666666,0.23333333333333334,0.3888888888888889,0.2808988764044944,0.28888888888888886,0.16666666666666666,0.18888888888888888
Mistral Medium (2312),0.05555555555555555,0.03333333333333333,0.18888888888888888,0.3333333333333333,0.3888888888888889,0.4,0.43820224719101125,0.14444444444444443,0.4111111111111111,0.28888888888888886
Claude 3 Haiku (20240307),0.011111111111111112,0.011111111111111112,0.011111111111111112,0.35555555555555557,0.6,0.14444444444444443,0.42696629213483145,0.16666666666666666,0.7333333333333333,0.16666666666666666
Yi (6B),0.28888888888888886,0.7333333333333333,0.24444444444444444,0.25555555555555554,0.17777777777777778,0.12222222222222222,0.1348314606741573,0.2777777777777778,0.18888888888888888,0.1111111111111111
Llama 2 (13B),0.4888888888888889,0.2,0.4666666666666667,0.08888888888888889,0.1111111111111111,0.1,0.10112359550561797,0.4111111111111111,0.10555555555555556,0.25555555555555554
Falcon (40B),0.24444444444444444,0.34444444444444444,0.6111111111111112,0.1,0.12222222222222222,0.13333333333333333,0.11235955056179775,0.13333333333333333,0.13333333333333333,0.23333333333333334
Jurassic-2 Jumbo (178B),0.4444444444444444,0.2222222222222222,0.5222222222222223,0.1111111111111111,0.08888888888888889,0.1111111111111111,0.0898876404494382,0.3111111111111111,0.14444444444444443,0.1
Mistral Instruct v0.3 (7B),0.3333333333333333,0.37777777777777777,0.1,0.2111111111111111,0.13333333333333333,0.2,0.21348314606741572,0.0,0.24444444444444444,0.14444444444444443
Jurassic-2 Grande (17B),0.5444444444444444,0.16666666666666666,0.3888888888888889,0.07777777777777778,0.07777777777777778,0.044444444444444446,0.07865168539325842,0.17777777777777778,0.08888888888888889,0.07777777777777778
Phi-2,0.3,0.3888888888888889,0.022222222222222223,0.24444444444444444,0.15555555555555556,0.16666666666666666,0.25842696629213485,0.022222222222222223,0.12222222222222222,0.011111111111111112
Llama 2 (7B),0.2777777777777778,0.15555555555555556,0.3111111111111111,0.06666666666666667,0.06666666666666667,0.07777777777777778,0.06741573033707865,0.23333333333333334,0.10555555555555556,0.15555555555555556
Luminous Supreme (70B),0.5222222222222223,0.23333333333333334,0.2111111111111111,0.03333333333333333,0.044444444444444446,0.05555555555555555,0.0449438202247191,0.15555555555555556,0.06111111111111111,0.08888888888888889
Command Light,0.17777777777777778,0.4222222222222222,0.03333333333333333,0.05555555555555555,0.05555555555555555,0.08888888888888889,0.056179775280898875,0.07777777777777778,0.07777777777777778,0.0
Luminous Extended (30B),0.26666666666666666,0.14444444444444443,0.08888888888888889,0.022222222222222223,0.011111111111111112,0.022222222222222223,0.033707865168539325,0.1,0.06111111111111111,0.03333333333333333
Falcon (7B),0.16666666666666666,0.07777777777777778,0.17777777777777778,0.011111111111111112,0.022222222222222223,0.03333333333333333,0.02247191011235955,0.05555555555555555,0.022222222222222223,0.05555555555555555
OLMo (7B),0.13333333333333333,0.12222222222222222,0.1111111111111111,0.0,0.03333333333333333,0.011111111111111112,0.011235955056179775,0.03333333333333333,0.0,0.06666666666666667
Luminous Base (13B),0.18888888888888888,0.06666666666666667,0.044444444444444446,0.044444444444444446,0.0,0.0,0.0,0.011111111111111112,0.03333333333333333,0.022222222222222223
