,MTOPDomainClassification,ArguAna,StackExchangeClustering.v2,MassiveIntentClassification,STS12,MindSmallReranking,AskUbuntuDupQuestions,STS22.v2,MedrxivClusteringS2S.v2,SICK-R,StackExchangeClusteringP2P.v2,Banking77Classification,SprintDuplicateQuestions,MassiveScenarioClassification,STS13,AmazonCounterfactualClassification,STS14,FEVERHardNegatives,SCIDOCS,ToxicConversationsClassification,STS17,ArXivHierarchicalClusteringP2P,MedrxivClusteringP2P.v2,TwentyNewsgroupsClustering.v2,ArXivHierarchicalClusteringS2S,TwitterSemEval2015,TRECCOVID,TwitterURLCorpus,BIOSSES,ClimateFEVERHardNegatives,TweetSentimentExtractionClassification,STS15,STSBenchmark,CQADupstackGamingRetrieval,Touche2020Retrieval.v3,CQADupstackUnixRetrieval,ImdbClassification,HotpotQAHardNegatives,FiQA2018,BiorxivClusteringP2P.v2,SummEvalSummarization.v2
codefuse-ai/F2LLM-v2-14B,0.994642,0.64975,0.808444,0.885844,0.826486,0.33069,0.67577,0.66686,0.565186,0.821847,0.509221,0.916136,0.951997,0.932482,0.872257,0.931194,0.855616,0.93325,0.28418,0.909131,0.913214,0.623108,0.586466,0.619656,0.639114,0.760885,0.58916,0.867674,0.88161,0.4136,0.793067,0.897574,0.873982,0.65722,0.61959,0.56533,0.972288,0.73277,0.61831,0.732015,0.285032
jinaai/jina-embeddings-v5-omni-small,0.989307,0.65071,0.701319,0.890989,0.851146,0.32691,0.66078,0.717488,0.414285,0.916214,0.519501,0.914578,0.965576,0.920545,0.886952,0.931791,0.884952,0.90457,0.2304,0.93667,0.949019,0.657904,0.435063,0.543427,0.62706,0.723109,0.78486,0.859878,0.85158,0.41755,0.720685,0.925753,0.9483,0.62156,0.70593,0.4961,0.9555,0.69939,0.49632,0.476539,0.31773
jinaai/jina-embeddings-v5-text-small,0.989307,0.65071,0.701319,0.890989,0.851146,0.32691,0.66078,0.717488,0.414285,0.916214,0.519501,0.914578,0.965576,0.920545,0.886952,0.931791,0.884952,0.90457,0.2304,0.93667,0.949019,0.657904,0.435063,0.543427,0.62706,0.723109,0.78486,0.859878,0.85158,0.41755,0.720685,0.925753,0.9483,0.62156,0.70593,0.4961,0.9555,0.69939,0.49632,0.476539,0.31773
NovaSearch/jasper_en_vision_language_v1,0.991701,0.65204,0.80049,0.85306,0.802578,0.326281,0.673812,0.671971,0.480553,0.82234,0.544329,0.87224,0.964021,0.911735,0.89692,0.93791,0.853155,0.75809,0.24638,0.913135,0.910079,0.686877,0.497693,0.634294,0.647347,0.803201,0.86732,0.877075,0.846598,0.21855,0.772411,0.901574,0.888456,0.63253,0.45904,0.4857,0.969528,0.68428,0.60118,0.550404,0.371903
codefuse-ai/F2LLM-v2-4B,0.995075,0.62393,0.78668,0.887122,0.824698,0.33012,0.67124,0.674027,0.542963,0.811879,0.504188,0.914578,0.942027,0.928447,0.867143,0.934627,0.847994,0.93093,0.26771,0.906689,0.910751,0.634415,0.566631,0.590265,0.619551,0.74612,0.57698,0.864781,0.874285,0.45079,0.798217,0.89609,0.873113,0.61977,0.60856,0.54683,0.96926,0.71378,0.57364,0.717721,0.345401
codefuse-ai/F2LLM-4B,0.993046,0.61926,0.788153,0.878413,0.816399,0.330308,0.670681,0.665351,0.702315,0.816987,0.50145,0.918604,0.911723,0.922461,0.892963,0.930299,0.854702,0.91869,0.26702,0.920166,0.89313,0.656034,0.719946,0.628835,0.644966,0.742951,0.6064,0.857958,0.875556,0.43388,0.802999,0.890881,0.87232,0.65372,0.55894,0.59008,0.968752,0.73111,0.58389,0.841711,0.331898
jinaai/jina-embeddings-v5-omni-nano,0.986457,0.65699,0.693946,0.884129,0.853443,0.32718,0.65733,0.704314,0.403262,0.919743,0.505836,0.902013,0.955503,0.918393,0.894751,0.924478,0.889108,0.89817,0.22604,0.927734,0.936989,0.650163,0.425577,0.525576,0.610752,0.731022,0.77601,0.855575,0.874502,0.40032,0.714997,0.927998,0.944537,0.61605,0.6612,0.47397,0.947448,0.69279,0.47848,0.464257,0.319452
jinaai/jina-embeddings-v5-text-nano,0.986457,0.65699,0.693946,0.884129,0.853443,0.32718,0.65733,0.704314,0.403262,0.919743,0.505836,0.902013,0.955503,0.918393,0.894751,0.924478,0.889108,0.89817,0.22604,0.927734,0.936989,0.650163,0.425577,0.525576,0.610752,0.731022,0.77601,0.855575,0.874502,0.40032,0.714997,0.927998,0.944537,0.61605,0.6612,0.47397,0.947448,0.69279,0.47848,0.464257,0.319452
codefuse-ai/F2LLM-v2-1.7B,0.993912,0.60235,0.776777,0.883759,0.824858,0.32486,0.65985,0.673952,0.518335,0.805845,0.492756,0.896656,0.947433,0.930699,0.870407,0.926269,0.852138,0.91588,0.23908,0.91123,0.91196,0.645105,0.540824,0.600099,0.626066,0.757654,0.54208,0.869942,0.884689,0.42923,0.802094,0.896714,0.878159,0.62225,0.58416,0.52169,0.966684,0.68154,0.52633,0.672823,0.361456
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,0.986890104879161,0.60153,0.7583726954485177,0.832380632145259,0.8190031256415883,0.3245384290854005,0.6238994348178671,0.6720984198139099,0.43456067950998173,0.8320442801025385,0.5163534308201869,0.903051948051948,0.9608836408366999,0.8934767989240081,0.895167267178336,0.9474626865671644,0.8599180550008585,0.88232,0.21617,0.9169921875,0.9233531893863874,0.6345525248201163,0.4557062461631795,0.7313907276018541,0.6115800304798539,0.7715227011507233,0.82983,0.8666290190780936,0.8402360128174284,0.35062,0.8007923033389925,0.9032929760921006,0.8888111143561678,0.65515,0.63225,0.48873,0.95914,0.7179,0.471,0.5067147241962376,0.3121012108744044
Linq-AI-Research/Linq-Embed-Mistral,0.964204,0.69649,0.721659,0.810121,0.7844413657529001,0.3205750522793288,0.6682016765243456,0.685546,0.403674,0.8430523596401186,0.503173,0.8788311688311689,0.9627527798658713,0.829052,0.8826850223126127,0.849552,0.8449441798385489,0.87595,0.21932,0.7129380000000001,0.9268185242943189,0.633776,0.409949,0.572573,0.62165,0.8151817015121484,0.8709700000000001,0.8751158697451964,0.864013663041054,0.30324,0.647623089983022,0.9027866978947013,0.8880650007123052,0.64364,0.54473,0.4939,0.9477639999999999,0.75411,0.61205,0.458864,0.37262
Salesforce/SFR-Embedding-Mistral,0.958824,0.67171,0.719022,0.770545,0.7946865215168464,0.3272383151953079,0.6758376647859171,0.686253,0.415757,0.8292294737327579,0.513818,0.8881168831168832,0.9645919546060879,0.79731,0.8915419511870839,0.745075,0.8493199878424691,0.86627,0.19908,0.6932940000000001,0.9201519349090438,0.655027,0.431892,0.561591,0.625545,0.8152394754041109,0.87599,0.8778613271895861,0.8607003345325681,0.28292,0.6363893604980192,0.907407512744838,0.8899708463265337,0.64883,0.55179,0.4944,0.9479200000000002,0.73756,0.60402,0.471772,0.363153
nvidia/NV-Embed-v2,0.956863,0.70074,0.550391,0.782784,0.7789286260403269,0.3175936162919999,0.6746477327480808,0.662021,0.3550856618300479,0.8214763206055602,0.449961,0.9241558441558443,0.9709194643777883,0.811163,0.8830238972017451,0.792836,0.8429920990970672,0.90446,0.21901,0.9274020000000001,0.9066976712249057,0.602787,0.37396367034196193,0.451225,0.592447,0.8111422421732487,0.88851,0.8786649114275045,0.8741644967443246,0.33436,0.8086870401810978,0.8903555007807218,0.8840520383147418,0.65143,0.5731,0.51662,0.971376,0.83834,0.65729,0.437315,0.352135
Qwen/Qwen3-Embedding-0.6B,0.959576,0.70965,0.711618,0.804304,0.829953,0.312339,0.651285,0.71115,0.404147,0.848283,0.521263,0.810097,0.941094,0.741392,0.917553,0.914627,0.871015,0.88942,0.24407,0.821289,0.932544,0.637187,0.421841,0.517341,0.638185,0.722557,0.90518,0.867482,0.854893,0.4362,0.760498,0.914472,0.911297,0.64142,0.69896,0.51494,0.954392,0.67689,0.46612,0.472655,0.334321
codefuse-ai/F2LLM-1.7B,0.992385,0.60974,0.765009,0.861163,0.807027,0.323163,0.673589,0.668278,0.593446,0.814346,0.504119,0.904513,0.940714,0.914829,0.879525,0.930597,0.84095,0.89297,0.2472,0.903613,0.903235,0.6661,0.613148,0.607858,0.642938,0.698502,0.62039,0.85895,0.877996,0.40635,0.798302,0.885788,0.873581,0.63679,0.55223,0.5636,0.963316,0.7164,0.53691,0.737536,0.298809
google/text-embedding-005,0.980369,0.57976,0.909305,0.802555,0.781241,0.32302,0.6537,0.695551,0.355898,0.826039,0.415406,0.881948,0.964921,0.865568,0.903475,0.778507,0.854977,0.86688,0.21042,0.880615,0.914989,0.573169,0.366714,0.562689,0.561114,0.789296,0.84907,0.874423,0.897129,0.34944,0.736531,0.90201,0.891067,0.67101,0.56957,0.50627,0.956336,0.68537,0.58885,0.408443,0.350476
Alibaba-NLP/gte-Qwen2-7B-instruct,0.990424,0.54565,0.8026367734971261,0.8542703429724277,0.7952565322917207,0.3335680810650402,0.6757827065898053,0.672563950420954,0.474772,0.7915962683643262,0.543527,0.8756818181818181,0.9314139545432241,0.897007,0.8896943154592363,0.9132835820895522,0.8386537189895273,0.9063,0.2348,0.857373046875,0.8875116705677044,0.681929207141039,0.49030029866366104,0.543167,0.6484694347666395,0.7796520460741593,0.80374,0.8660659275450582,0.8137173362822374,0.32204,0.7258347481607246,0.8848375378824065,0.8681105691398512,0.59584,0.59216,0.43849,0.96754,0.75003,0.62031,0.5324389713638713,0.357353
google/text-embedding-004,0.982376,0.58625,0.913485,0.804876,0.775769,0.319098,0.650414,0.686389,0.350958,0.81931,0.424776,0.885942,0.963748,0.869334,0.903559,0.745373,0.852448,0.88467,0.20496,0.897559,0.917476,0.570909,0.36798,0.54597,0.548248,0.790402,0.82547,0.875299,0.894563,0.34421,0.737889,0.896639,0.889791,0.68215,0.57616,0.50395,0.959336,0.7039,0.59418,0.399298,0.361245
ai-sage/Giga-Embeddings-instruct,0.987779,0.47124,0.682264,0.86846,0.71922,0.313799,0.680537,0.674597,0.456431,0.846631,0.489371,0.907338,0.944659,0.917754,0.880014,0.940896,0.824645,0.84791,0.19865,0.902002,0.900647,0.664339,0.484833,0.536605,0.653188,0.78038,0.8188,0.855343,0.866225,0.28059,0.770628,0.879416,0.871684,0.70112,0.58283,0.5329,0.96714,0.71302,0.8206,0.527805,0.377263
IEITYuan/Yuan-embedding-2.0-en,0.95057,0.69169,0.686737,0.779993,0.801966,0.312693,0.752801,0.70821,0.376131,0.830625,0.49018,0.792435,0.903419,0.809348,0.886163,0.910896,0.839912,0.77248,0.59857,0.808838,0.925633,0.617212,0.397828,0.499774,0.622411,0.691314,0.98328,0.864047,0.855483,0.59052,0.74867,0.89746,0.89472,0.81614,0.64645,0.6885,0.947648,0.68755,0.59412,0.445417,0.297091
NovaSearch/stella_en_1.5B_v5,0.986525,0.5706,0.7604248089768724,0.8451244115669132,0.7855520488226414,0.33054492049405554,0.6732597152838535,0.6698961019421251,0.45498,0.8240165924558952,0.533069,0.8978896103896105,0.9611373611590401,0.89657,0.8862429790970509,0.9414925373134329,0.8331890044293464,0.78369,0.26769,0.867626953125,0.9045254463147869,0.6452339106857525,0.47229686525218595,0.561492,0.6131306424118907,0.8057982723880138,0.83842,0.8736525428661075,0.8310731534330518,0.28463,0.748443689869836,0.8850644215638906,0.874855111372355,0.5359,0.36401,0.29026,0.9666079999999999,0.70182,0.6048,0.5238436429933815,0.369114
google/embeddinggemma-300m,0.991085,0.71535,0.909414,0.857868,0.793211,0.318995,0.629547,0.675201,0.419289,0.813676,0.488965,0.914545,0.970258,0.9154,0.864161,0.900746,0.836713,0.80745,0.18429,0.829346,0.903149,0.63588,0.441053,0.512884,0.595855,0.779386,0.8035,0.869003,0.863845,0.2671,0.665874,0.893485,0.881646,0.59525,0.58898,0.41519,0.929168,0.71476,0.47736,0.520956,0.376351
NovaSearch/stella_en_400M_v5,0.983128,0.609,0.7757900851574056,0.8047074646940148,0.8133552823557412,0.330526129239962,0.6615294503553425,0.6745660575771218,0.469839,0.814748469518998,0.538222,0.8930194805194805,0.956075961598125,0.895595,0.8863998125652698,0.9428358208955224,0.847722847346502,0.71977,0.23224,0.839697265625,0.9053130748479374,0.6392483709906334,0.49585183072117767,0.544003,0.6081704622679586,0.8018603932881858,0.76648,0.8570698982748501,0.8329587385660627,0.32104,0.7357668364459535,0.9022928378885277,0.8763996146760704,0.5702,0.49827,0.41806,0.964904,0.57778,0.56056,0.541196547218052,0.345306
codefuse-ai/F2LLM-v2-0.6B,0.99218,0.59252,0.74465,0.871251,0.819757,0.31104,0.64256,0.644005,0.486862,0.797163,0.487059,0.883571,0.95459,0.925286,0.868571,0.925522,0.840933,0.91308,0.22189,0.904541,0.903262,0.651293,0.506028,0.539768,0.632984,0.737744,0.49821,0.866655,0.879809,0.41773,0.782881,0.888497,0.876024,0.58742,0.5792,0.48257,0.95814,0.65562,0.48253,0.610184,0.32466
ICT-TIME-and-Querit/ICT-TIME-and-Querit-embedding-v1,0.971158,0.71673,0.725746,0.790148,0.76155,0.33163,0.65906,0.664175,0.414385,0.800527,0.498186,0.872662,0.964176,0.816039,0.861862,0.921343,0.786946,0.87641,0.26645,0.88335,0.915898,0.650087,0.440271,0.620726,0.635698,0.735482,0.77046,0.873195,0.840519,0.34008,0.785937,0.866046,0.860561,0.62542,0.51842,0.50787,0.96138,0.76291,0.55186,0.522749,0.379535
intfloat/e5-mistral-7b-instruct,0.9533059735522116,0.61653,0.6432871212725468,0.7700067249495628,0.7965304787099163,0.32589069634457396,0.6697991401600184,0.6728764744648434,0.3782157839672135,0.8264168405010995,0.4806904508014866,0.8141233766233767,0.9586143310549287,0.791324815063887,0.8842693188284634,0.7456716417910448,0.8453916226397308,0.8699,0.16315,0.71748046875,0.917583781551319,0.6528373499913129,0.39047461828238117,0.5328097114789199,0.612781226957918,0.816186366421062,0.87034,0.8778798304575807,0.8550496033671865,0.28499,0.6489247311827957,0.9042497351106816,0.8859956806069065,0.63521,0.55438,0.46753,0.9472759999999999,0.73207,0.5681,0.4243994588820838,0.3656962590588282
BidirLM/BidirLM-Omni-2.5B-Embedding,0.953146,0.57044,0.690859,0.816476,0.826959,0.32298,0.63339,0.681418,0.366177,0.812508,0.421719,0.84974,0.970573,0.829556,0.881628,0.82791,0.849332,0.76194,0.23317,0.700098,0.909764,0.639689,0.435787,0.487182,0.639599,0.741675,0.80887,0.873147,0.871713,0.23529,0.665988,0.900231,0.882051,0.63504,0.61286,0.50272,0.930924,0.65382,0.49267,0.442436,0.300841
Tarka-AIR/Tarka-Embedding-350M-V1,0.972572,0.62669,0.744941,0.809482,0.819674,0.32353,0.63202,0.680834,0.425679,0.827028,0.520589,0.842922,0.944949,0.86076,0.890416,0.932239,0.848424,0.81128,0.20753,0.922363,0.898389,0.646583,0.441816,0.572053,0.614904,0.711262,0.78823,0.862866,0.857146,0.35687,0.781126,0.900117,0.89131,0.603,0.60259,0.45287,0.95298,0.64806,0.41742,0.492323,0.274337
Salesforce/SFR-Embedding-2_R,0.986275,0.56592,0.7499008423226651,0.8421654337592468,0.7568517860427304,0.31260919294024603,0.6671478959728732,0.6705016172771614,0.467892,0.7699265897099083,0.52924,0.9002272727272727,0.9766692232687736,0.915064,0.8233675805831938,0.9261194029850746,0.7987787992067579,0.69634,0.24687,0.908251953125,0.8888824286688339,0.653697253315525,0.49590411571633836,0.672474,0.6399603433974237,0.7857015336777855,0.88437,0.880245996306869,0.8760440576436838,0.15796,0.7969722693831351,0.8576600770180892,0.8355880011831174,0.60423,0.44972,0.48314,0.9680320000000002,0.66917,0.61766,0.5422313821757675,0.355383
Alibaba-NLP/gte-Qwen2-1.5B-instruct,0.97394,0.6972,0.693255,0.813988,0.7725370084896513,0.3394151656057482,0.6455292107723382,0.669215,0.410793,0.8049030614009419,0.51135,0.8730844155844156,0.953203137438653,0.833188,0.8779454220555091,0.858358,0.8291015471820322,0.27897,0.24976000000000004,0.8266099999999998,0.9032542469203855,0.647434,0.430505,0.499673,0.63218,0.7964487116574168,0.85382,0.8758146137353202,0.8210729255710761,0.13155,0.7294567062818335,0.8845414278092397,0.8637572865993327,0.61305,0.50002,0.4496299999999999,0.9583360000000001,0.70403,0.54701,0.458146,0.339393
codefuse-ai/F2LLM-0.6B,0.991815,0.58608,0.736551,0.849731,0.795868,0.312152,0.645457,0.64456,0.537244,0.801426,0.493585,0.89013,0.94665,0.906288,0.86485,0.942388,0.832245,0.88775,0.22634,0.918896,0.901953,0.663162,0.561709,0.546791,0.640022,0.662181,0.58666,0.835862,0.836332,0.43838,0.789445,0.877781,0.867924,0.60351,0.54539,0.52393,0.956372,0.69512,0.47687,0.649411,0.245419
ICT-TIME-and-Querit/BOOM_4B_v1,0.970155,0.57925,0.728621,0.791022,0.774342,0.32956,0.65668,0.664605,0.411258,0.799824,0.501906,0.87,0.962493,0.814324,0.866784,0.92,0.793612,0.89347,0.1106,0.888574,0.912025,0.6466,0.434389,0.631514,0.646988,0.733044,0.8306,0.871519,0.855206,0.34889,0.784861,0.871027,0.869882,0.62539,0.5087,0.49549,0.961644,0.75937,0.54818,0.52661,
GeoGPT-Research-Project/GeoEmbedding,0.984086,0.77873,0.538504,0.855447,0.678271,0.320956,0.64535,0.717025,0.477388,0.800756,0.403465,0.921916,0.935964,0.903968,0.822776,0.969552,0.782074,0.92665,0.22138,0.845605,0.898873,0.645156,0.460144,0.875809,0.643711,0.679632,0.77264,0.859808,0.843423,0.42982,0.772269,0.870581,0.840544,0.64738,0.54375,0.50369,0.920364,0.73406,0.53241,0.476,0.304292
GritLM/GritLM-7B,0.953670770633835,0.63171,0.6813461467763409,0.7909549428379286,0.7733852878004329,0.3180987098530169,0.6737177860503064,0.6859113314620737,0.36855667725201335,0.8312714130007381,0.43833331117360236,0.844448051948052,0.9334758693133184,0.8036987222595829,0.8504027564663601,0.8053731343283583,0.8290819992299016,0.72571,0.24409,0.688134765625,0.9013968427855965,0.5976004587290107,0.36471142453724265,0.5731833840979356,0.6228324344758562,0.8108089315827822,0.74313,0.8742665970242987,0.8632485853672763,0.2324,0.66262026032824,0.8812508895141099,0.8564422693135456,0.63684,0.45658,0.48541,0.9507160000000001,0.73963,0.59908,0.41895930454425534,0.35653993808128315
avsolatorio/GIST-large-Embedding-v0,0.950707,0.6338,0.604036,0.738534,0.7712670500926937,0.32824885484051175,0.6470120072857362,0.700997,0.360938,0.8279782085421951,0.418392,0.8810064935064933,0.9654495433438355,0.772697,0.8928563503553643,0.747164,0.838288465070091,0.86301,0.24062,0.718624,0.8966118745178284,0.597983,0.379457,0.532845,0.589655,0.7759606075943268,0.69127,0.8596137364694969,0.8917070651383446,0.33933,0.5917374080362195,0.8969728364350713,0.8830389489193672,0.60672,0.48559,0.43976,0.912344,0.70902,0.44301999999999997,0.423635,0.315153
codefuse-ai/F2LLM-v2-330M,0.99186,0.5801,0.711864,0.850235,0.813965,0.30994,0.63005,0.660537,0.461557,0.766394,0.484216,0.870162,0.96257,0.916611,0.852266,0.924328,0.827708,0.9034,0.19936,0.906299,0.900597,0.643288,0.49182,0.531373,0.613511,0.700298,0.52932,0.862989,0.876152,0.40227,0.770798,0.886049,0.869486,0.57495,0.59803,0.46452,0.945996,0.6434,0.43912,0.586002,0.278544
nvidia/NV-Embed-v1,0.940173,0.6820499999999999,0.563493,0.722629,0.7622474792649981,0.3081559527113072,0.6749860736554154,0.660081,0.369368,0.8280375234068289,0.440807,0.9033766233766235,0.9607286531485965,0.749664,0.863035513172505,0.710149,0.8209196894621045,0.84101,0.20190000000000002,0.925984,0.8741531216247835,0.613772,0.378069,0.507396,0.613319,0.7899631410090865,0.85883,0.8608743411620402,0.855905044545741,0.27403,0.8063950198075835,0.8724083005603993,0.8613895001731495,0.66534,0.55412,0.52188,0.9705799999999998,0.7831,0.63096,0.47384,0.314031
GritLM/GritLM-8x7B,0.9529183766529867,0.59539,0.692228133991667,0.7670141223940821,0.7369103876926383,0.32842930034355783,0.6559672236627206,0.6922016917100501,0.398433,0.8056596360704134,0.442715,0.874577922077922,0.9197328651896981,0.779422,0.8584537862684345,0.7631343283582088,0.8204633406211417,0.72054,0.23248,0.693505859375,0.9141549643157397,0.5986256139428866,0.40283075404998303,0.564549,0.5721927960247923,0.7720584529783205,0.81357,0.8651045713469981,0.8734415887061094,0.23759,0.6248160724391625,0.8881340550511095,0.8746088823673782,0.65909,0.3447,0.48932,0.943208,0.65391,0.49892,0.446450727199578,0.356453
mixedbread-ai/mxbai-embed-large-v1,0.939535,0.65469,0.550802570899201,0.762205783456624,0.7906872494516909,0.326195,0.634897,0.6904364191808922,0.3496898857228278,0.8277671230423026,0.40465001207381013,0.877987,0.9681663100569824,0.798924,0.8979451553480633,0.7507462686567165,0.8521908733722553,0.86543,0.23101,0.67314453125,0.8920909866806481,0.6010625739174296,0.37269967546926125,0.5110890076508168,0.5899389736636808,0.785547,0.7553,0.862275892878467,0.860544,0.36225,0.597029,0.89343833752036,0.8928960362631743,0.58942,0.48602,0.41773,0.928324,0.72503,0.4527,0.4187022064365139,0.326324
WhereIsAI/UAE-Large-V1,0.940036,0.6614999999999999,0.5721976219782328,0.7624075319435104,0.7909144554302442,0.3251125957874274,0.6419590406875427,0.6924564313604081,0.349983,0.8262331465639475,0.418376,0.8769155844155844,0.9723695845695101,0.797075,0.8961713197117621,0.7556716417910447,0.8501783656853793,0.88479,0.22981,0.668896484375,0.8899349064256743,0.5937910271512732,0.368819606384123,0.502854,0.6051344629594086,0.7816796549696479,0.76271,0.8633025598681032,0.861423242570783,0.38728,0.5974533106960951,0.8950909892872387,0.8906081794905042,0.57193,0.49614,0.40873,0.9277960000000001,0.73947,0.44836,0.417929,0.30128
google/text-multilingual-embedding-002,0.981031,0.53814,0.913658,0.757465,0.791855,0.317002,0.632665,0.682297,0.343137,0.807759,0.408214,0.861753,0.968032,0.851782,0.887532,0.775373,0.834547,0.85606,0.1796,0.878223,0.902725,0.56284,0.365672,0.525336,0.536635,0.759495,0.81452,0.870444,0.884737,0.32313,0.720119,0.886594,0.876198,0.62516,0.57019,0.4278,0.946228,0.64305,0.49235,0.377101,0.368362
